tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
30/04/2020,B9167UCE,SUZUKI,Bensin,PICK UP,2011,TECHNOTEST / 488 / D5-25885,Lulus
30/04/2020,B2936SYR,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2376SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2952SYR,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2731SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2328SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2093SYS,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2336SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B1271VEQ,HONDA,Bensin,SEDAN,2004,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2326SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2330SIO,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2729SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2317SYS,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2105SYS,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2334SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2437SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2697SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2703SIO,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
30/04/2020,B2142SYS,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B9321ZJ,MITSUBISHI,Solar,BOX,2008,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
29/04/2020,B9059BAT,ISUZU,Solar,PICK UP,2019,TECNO TEST / 495-515 / 269191,Lulus
29/04/2020,B1026SJZ,TOYOTA,Solar,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B1058SJZ,TOYOTA,Solar,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2121SYS,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2133SYS,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2151SYS,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2184BYE,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2920SYR,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B2932SYR,TOYOTA,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7079SDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7080SDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7090SDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7141BDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7143BDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7145BDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
29/04/2020,B7148BDB,TOYOTA,Solar,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
28/04/2020,B2824SGY,DAIHATSU,Bensin,MPV/ MINI BUS,2016,NEOMOTECH / CG 450 / 4N11D017,Lulus
28/04/2020,B2816SGY,DAIHATSU,Bensin,MPV/ MINI BUS,2016,NEOMOTECH / CG 450 / 4N11D017,Lulus
28/04/2020,B9007CCB,MITSUBISHI,Solar,TRUCK,2011,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
25/04/2020,B9925BCL,MITSUBISHI,Solar,BOX,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
